LebwohlLasher.py: Size: 50, Steps: 500, T*: 0.500: Order: 0.537, Time: 15.852029 s
         3667856 function calls (3651549 primitive calls) in 16.568 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    35530    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        1    0.000    0.000    0.005    0.005 ticker.py:1(<module>)
      479    0.003    0.000    0.005    0.000 enum.py:254(__set_name__)
        3    0.000    0.000    0.005    0.002 patches.py:2293(__init_subclass__)
     3103    0.003    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
       12    0.000    0.000    0.005    0.000 core.py:1145(parse_string)
        6    0.000    0.000    0.005    0.001 patches.py:2335(pprint_styles)
       34    0.005    0.000    0.005    0.000 {built-in method _io.open}
    45/12    0.000    0.000    0.005    0.000 typing.py:1294(__getitem__)
      572    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:486(cache_from_source)
        7    0.001    0.000    0.005    0.001 enum.py:913(_convert_)
       13    0.000    0.000    0.005    0.000 rcsetup.py:426(validate_font_properties)
       10    0.000    0.000    0.005    0.000 _fontconfig_pattern.py:77(parse_fontconfig_pattern)
      286    0.005    0.000    0.005    0.000 {method 'read' of '_io.BufferedReader' objects}
       21    0.000    0.000    0.005    0.000 typing.py:2791(_make_nmtuple)
        1    0.000    0.000    0.005    0.005 shutil.py:1(<module>)
        1    0.000    0.000    0.005    0.005 backend_tools.py:1(<module>)
      501    0.001    0.000    0.005    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.005    0.005 tempfile.py:1(<module>)
        1    0.000    0.000    0.005    0.005 PngImagePlugin.py:1(<module>)
      502    0.003    0.000    0.005    0.000 _twodim_base_impl.py:163(eye)
        1    0.000    0.000    0.005    0.005 artist.py:1(<module>)
      670    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:162(__enter__)
        1    0.000    0.000    0.005    0.005 units.py:1(<module>)
        1    0.000    0.000    0.004    0.004 table.py:1(<module>)
      501    0.004    0.000    0.004    0.000 numeric.py:65(zeros_like)
        1    0.000    0.000    0.004    0.004 _internal.py:1(<module>)
      241    0.002    0.000    0.004    0.000 typing.py:262(_collect_parameters)
      698    0.002    0.000    0.004    0.000 functools.py:35(update_wrapper)
       64    0.001    0.000    0.004    0.000 deprecation.py:414(make_keyword_only)
       39    0.001    0.000    0.004    0.000 colors.py:1080(from_list)
   306/12    0.001    0.000    0.004    0.000 core.py:806(_parseNoCache)
        1    0.000    0.000    0.004    0.004 hashlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 _secondary_axes.py:1(<module>)
    72/12    0.000    0.000    0.004    0.000 core.py:4123(parseImpl)
        1    0.000    0.000    0.004    0.004 legend.py:1(<module>)
     7566    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
        2    0.000    0.000    0.004    0.002 version.py:1(<module>)
      501    0.001    0.000    0.004    0.000 fromnumeric.py:2611(all)
      615    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:632(cached)
        1    0.000    0.000    0.004    0.004 transforms.py:1(<module>)
        1    0.000    0.000    0.004    0.004 pickle.py:1(<module>)
        1    0.000    0.000    0.004    0.004 <frozen importlib._bootstrap>:1171(exec_module)
        1    0.000    0.000    0.004    0.004 <frozen ntpath>:1(<module>)
       10    0.000    0.000    0.004    0.000 util.py:372(_inner)
     1623    0.002    0.000    0.004    0.000 typing.py:1215(__setattr__)
      501    0.001    0.000    0.004    0.000 _methods.py:68(_all)
      329    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:615(_get_cached)
      230    0.001    0.000    0.004    0.000 overrides.py:83(verify_matching_signatures)
      434    0.001    0.000    0.004    0.000 typing.py:175(_type_check)
        1    0.000    0.000    0.004    0.004 dates.py:1(<module>)
        1    0.000    0.000    0.004    0.004 plistlib.py:1(<module>)
        1    0.000    0.000    0.004    0.004 random.py:1(<module>)
      286    0.004    0.000    0.004    0.000 {built-in method _io.open_code}
        1    0.000    0.000    0.003    0.003 _function_base_impl.py:1(<module>)
      589    0.002    0.000    0.003    0.000 enum.py:390(__setitem__)
      548    0.002    0.000    0.003    0.000 typing.py:1636(__hash__)
      670    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:124(setdefault)
        8    0.000    0.000    0.003    0.000 core.py:5779(__init__)
      113    0.000    0.000    0.003    0.000 rcsetup.py:99(f)
        3    0.000    0.000    0.003    0.001 exceptions.py:1(<module>)
     28/7    0.000    0.000    0.003    0.000 core.py:4658(leave_whitespace)
    45/12    0.001    0.000    0.003    0.000 typing.py:1326(_determine_new_args)
      109    0.000    0.000    0.003    0.000 typing.py:345(_remove_dups_flatten)
      503    0.001    0.000    0.003    0.000 _ufunc_config.py:441(__enter__)
      311    0.001    0.000    0.003    0.000 function_base.py:505(add_newdoc)
        1    0.000    0.000    0.003    0.003 _add_newdocs.py:1(<module>)
      501    0.001    0.000    0.003    0.000 fromnumeric.py:89(_wrapreduction_any_all)
        1    0.000    0.000    0.003    0.003 rrule.py:1(<module>)
        1    0.000    0.000    0.003    0.003 _char_codes.py:1(<module>)
      445    0.000    0.000    0.003    0.000 core.py:519(copy)
      501    0.000    0.000    0.003    0.000 {method 'max' of 'numpy.ndarray' objects}
       39    0.000    0.000    0.003    0.000 typing.py:521(__getitem__)
    12744    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     2703    0.002    0.000    0.003    0.000 cbook.py:468(_strip_comment)
     1236    0.000    0.000    0.003    0.000 <frozen abc>:117(__instancecheck__)
        1    0.000    0.000    0.003    0.003 parse.py:1(<module>)
        1    0.000    0.000    0.003    0.003 cbook.py:1(<module>)
       39    0.000    0.000    0.003    0.000 typing.py:753(Literal)
     7470    0.002    0.000    0.003    0.000 _parser.py:168(__getitem__)
     2171    0.002    0.000    0.003    0.000 typing.py:1161(_is_dunder)
       22    0.000    0.000    0.003    0.000 core.py:5062(parseImpl)
      206    0.001    0.000    0.003    0.000 _compiler.py:516(_compile_info)
     2004    0.002    0.000    0.003    0.000 {built-in method math.prod}
     1236    0.000    0.000    0.003    0.000 {built-in method _abc._abc_instancecheck}
        1    0.000    0.000    0.003    0.003 decimal.py:1(<module>)
       64    0.000    0.000    0.003    0.000 util.py:361(replaced_by_pep8)
        1    0.000    0.000    0.003    0.003 format.py:1(<module>)
      445    0.001    0.000    0.003    0.000 copy.py:61(copy)
    32296    0.003    0.000    0.003    0.000 {built-in method builtins.callable}
        8    0.001    0.000    0.003    0.000 enum.py:1702(convert_class)
      261    0.000    0.000    0.003    0.000 rcsetup.py:304(validate_color_for_prop_cycle)
 1699/193    0.001    0.000    0.002    0.000 <frozen abc>:121(__subclasscheck__)
      501    0.001    0.000    0.002    0.000 _linalg.py:148(_commonType)
     59/7    0.000    0.000    0.002    0.000 core.py:3880(leave_whitespace)
      501    0.000    0.000    0.002    0.000 _methods.py:43(_amax)
        1    0.000    0.000    0.002    0.002 _tricontour.py:1(<module>)
      356    0.001    0.000    0.002    0.000 inspect.py:801(_finddoc)
 1699/193    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
      670    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:372(release)
        1    0.000    0.000    0.002    0.002 spines.py:1(<module>)
    45/12    0.000    0.000    0.002    0.000 typing.py:1355(_make_substitution)
   129/61    0.000    0.000    0.002    0.000 core.py:3972(copy)
      509    0.001    0.000    0.002    0.000 _inspect.py:96(getargspec)
        1    0.000    0.000    0.002    0.002 decoder.py:1(<module>)
       19    0.000    0.000    0.002    0.000 rcsetup.py:677(cycler)
      329    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1592(_get_spec)
        1    0.000    0.000    0.002    0.002 version.py:161(Version)
     5499    0.002    0.000    0.002    0.000 {built-in method builtins.setattr}
        2    0.000    0.000    0.002    0.001 __init__.py:12(__getattr__)
        1    0.000    0.000    0.002    0.002 numerictypes.py:1(<module>)
      670    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
     4584    0.002    0.000    0.002    0.000 {built-in method builtins.sorted}
     5098    0.001    0.000    0.002    0.000 _parser.py:261(get)
      236    0.000    0.000    0.002    0.000 typing.py:1174(__init__)
        1    0.000    0.000    0.002    0.002 ImagePalette.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _machar.py:1(<module>)
    38/18    0.000    0.000    0.002    0.000 core.py:4641(parseImpl)
       24    0.001    0.000    0.002    0.000 util.py:209(_collapse_string_to_ranges)
        1    0.000    0.000    0.002    0.002 _histograms_impl.py:1(<module>)
        7    0.000    0.000    0.002    0.000 core.py:2823(__init__)
      501    0.001    0.000    0.002    0.000 shape_base.py:367(_stack_dispatcher)
        1    0.000    0.000    0.002    0.002 _tripcolor.py:1(<module>)
      359    0.000    0.000    0.002    0.000 typing.py:730(<genexpr>)
      110    0.000    0.000    0.002    0.000 <frozen abc>:105(__new__)
      412    0.001    0.000    0.002    0.000 enum.py:1556(__and__)
      148    0.000    0.000    0.002    0.000 typing.py:317(_deduplicate)
        2    0.000    0.000    0.002    0.001 dataclasses.py:1264(wrap)
        2    0.000    0.000    0.002    0.001 dataclasses.py:921(_process_class)
      237    0.000    0.000    0.002    0.000 {built-in method fromkeys}
     1542    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     1006    0.002    0.000    0.002    0.000 {built-in method numpy.zeros}
      433    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
    26/14    0.000    0.000    0.002    0.000 core.py:4371(parseImpl)
       20    0.000    0.000    0.002    0.000 core.py:5172(parseImpl)
        1    0.000    0.000    0.002    0.002 axes3d.py:41(Axes3D)
    10401    0.002    0.000    0.002    0.000 {method 'pop' of 'list' objects}
 1231/404    0.001    0.000    0.002    0.000 _parser.py:178(getwidth)
        7    0.000    0.000    0.002    0.000 enum.py:857(_create_)
        1    0.001    0.001    0.002    0.002 _triinterpolate.py:1(<module>)
        1    0.000    0.000    0.002    0.002 _utils_impl.py:1(<module>)
      138    0.001    0.000    0.002    0.000 _compiler.py:243(_optimize_charset)
       67    0.002    0.000    0.002    0.000 colors.py:1133(reversed)
       12    0.000    0.000    0.002    0.000 typing.py:1589(copy_with)
        1    0.000    0.000    0.002    0.002 uuid.py:1(<module>)
      572    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:132(_path_split)
  121/104    0.000    0.000    0.002    0.000 typing.py:1600(__hash__)
      466    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
      511    0.002    0.000    0.002    0.000 {built-in method builtins.print}
        1    0.000    0.000    0.002    0.002 getlimits.py:166(_register_known_types)
        1    0.002    0.002    0.002    0.002 {method 'close' of '_io.TextIOWrapper' objects}
       58    0.000    0.000    0.002    0.000 core.py:3139(parseImpl)
      349    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:420(__exit__)
        1    0.000    0.000    0.002    0.002 _afm.py:1(<module>)
        1    0.000    0.000    0.002    0.002 scanner.py:1(<module>)
